rank,first_block,first_ts_utc,symbol,name,address,deployer,launchpad_or_factory,total_supply_whole,holders,n_transfers,last_transfer_utc,active_30d,pool_address,pool_weth_usd,fdv_usd,deployer_pct_supply,verified_on_blockscout,obscurity,evidence,notes
11,61784,2026-06-16 14:00:20Z,Agentic,Agentic,0x7802e4c278f2dc2928f00e2998abc26562e60000,0x04eb0c32841dced838fe8e310c7642dc9154b50b,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,1,9,2026-08-21 12:27:06Z,1,0x7802e4c278f2dc2928f00e2998abc26562e60000,"4,331.54","4,036.85",0.0000,unknown,unknown,"deployed by EOA 0x04eb0c32841dced838fe8e310c7642dc9154b50b through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,036.85 pool_weth_usd=4,331.54"
12,61816,2026-06-16 14:03:53Z,Democratize,Democratize finance for all,0xf8c0e9b26971c5df9b754e5e0f5ad78c35770000,0x008b8d698f05510cefcaf7df3a6c1c29a4ed9aed,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,291,15766,2026-08-30 03:32:40Z,1,0xf8c0e9b26971c5df9b754e5e0f5ad78c35770000,"16,604.29","59,319.61",0.0000,unknown,indexed only,"deployed by EOA 0x008b8d698f05510cefcaf7df3a6c1c29a4ed9aed through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=59,319.61 pool_weth_usd=16,604.29 | blockscout: holders=292 no price, no aggregator listing"
13,61817,2026-06-16 14:04:01Z,SHERIFF,Sheriff Of Nottingham,0x7e2a6f24a110ff3c95887ff9be2ca0a094720000,0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,106,6547,2026-08-30 03:00:26Z,1,0x7e2a6f24a110ff3c95887ff9be2ca0a094720000,"16,604.29","59,319.61",0.0000,unknown,indexed only,"deployed by EOA 0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=59,319.61 pool_weth_usd=16,604.29 | blockscout: holders=105 no price, no aggregator listing"
14,61869,2026-06-16 14:08:39Z,ROBINDOG,ROBIN DOG,0x6399e2bd8af62c0ac13f55613c3469b67332a6fd,0x30b0a6c97cf015495e022219ba0f9a3787c90177,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,271,12500,2026-08-30 01:36:07Z,1,,,,0.0000,unknown,indexed only,"deployed by EOA 0x30b0a6c97cf015495e022219ba0f9a3787c90177 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=278 no price, no aggregator listing"
15,61987,2026-06-16 14:17:18Z,HUSK,Husky,0x57eb9c9153cfe0277f91ff8b8604c2d3006a9196,0x3ada55e55f9a154840e4c55a6c55dfc38c688d7f,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,66,2796,2026-08-29 14:50:11Z,1,,,,0.0000,unknown,indexed only,"deployed by EOA 0x3ada55e55f9a154840e4c55a6c55dfc38c688d7f through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=66 no price, no aggregator listing"
16,62204,2026-06-16 14:37:56Z,JOHN,Little John,0x1e963a1539681d0b877570f8bdc000cbe8404fc4,0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,58,2415,2026-08-24 19:47:09Z,1,,,,0.0000,unknown,indexed only,"deployed by EOA 0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=58 no price, no aggregator listing"
17,62209,2026-06-16 14:38:52Z,TAXISTHEFT,Taxation Is Theft,0x65b73ba1ce6cb8c865d5e2e0bbbc2c135f8dd9b4,0x71f2f1c2dc94cdabfe29cb355119f8683ae0969b,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,241,12592,2026-08-29 14:42:17Z,1,,,,1.9405,unknown,indexed only,"deployed by EOA 0x71f2f1c2dc94cdabfe29cb355119f8683ae0969b through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=241 no price, no aggregator listing"
18,62300,2026-06-16 14:49:52Z,BEGGAR,Beggar Robin Hood,0xa15e8847389baf535307b1c185429b6b80296c21,0x71f2f1c2dc94cdabfe29cb355119f8683ae0969b,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,598,35523,2026-08-30 01:30:22Z,1,,,,0.8094,unknown,indexed only,"deployed by EOA 0x71f2f1c2dc94cdabfe29cb355119f8683ae0969b through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=601 no price, no aggregator listing"
19,62376,2026-06-16 15:02:35Z,FEATHER,FEATHER,0x593673f2c63a22e213c9e90bdc0587b4e9710000,0x008b8d698f05510cefcaf7df3a6c1c29a4ed9aed,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,28,757,2026-08-21 02:42:59Z,1,0x593673f2c63a22e213c9e90bdc0587b4e9710000,"5,184.87","5,784.07",3.4770,unknown,indexed only,"deployed by EOA 0x008b8d698f05510cefcaf7df3a6c1c29a4ed9aed through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=5,784.07 pool_weth_usd=5,184.87 | blockscout: holders=28 no price, no aggregator listing"
20,62510,2026-06-16 15:24:45Z,MARIAN,Lady Marian,0x498802baa18faa70d15f658efe583d40f6e399f0,0xc2a6aaa234841ab59a0c8fe0c4cfd4350c9f6ccf,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,52,3020,2026-08-28 05:04:47Z,1,,,,0.4176,unknown,unknown,"deployed by EOA 0xc2a6aaa234841ab59a0c8fe0c4cfd4350c9f6ccf through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue
21,62619,2026-06-16 15:39:36Z,arcUSDG,Arcus USDG,0x4fdbdaf4800fc28c22a967d23a343acce34315a4,0xddddf452dec1f3877392e08810a7994c2a19a000,0x323f89aa49ea8626008de5d6941a25bde406b501,19972334,3,21376,2026-08-30 04:52:49Z,1,,,,0.0000,unknown,unknown,deployed via contract 0x323f89aa49ea8626008de5d6941a25bde406b501 by 0xddddf452dec1f3877392e08810a7994c2a19a000; that contract is not a known infra factory,no priceable venue
22,62825,2026-06-16 16:15:57Z,WDP,we’re dog people,0x5e2d315039148456b67b707824800984a9ba0000,0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,1,7,2026-06-17 02:09:07Z,0,0x5e2d315039148456b67b707824800984a9ba0000,"4,331.54","4,036.85",0.0000,unknown,unknown,"deployed by EOA 0x7916a5b94c597d1b78f5c1e78346a01e0922b5e8 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,036.85 pool_weth_usd=4,331.54"
23,62881,2026-06-16 16:18:51Z,KITSU,KITSU,0x8d4dfaaa4198b6486e0293fec914c2b6a821d4dc,0x170acb0595c1e53f4d7e82c58bc698b7806e58e5,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,3683,177415,2026-08-30 04:55:12Z,1,,,,0.0000,unknown,listed,"deployed by EOA 0x170acb0595c1e53f4d7e82c58bc698b7806e58e5 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue | blockscout: holders=3691 mcap_usd=1945274.94 price_usd=0.00194494 vol24h=284266.69 coingecko_listed=yes
24,63139,2026-06-16 16:57:17Z,KITSU,KITSU,0x9f69ad8b9ac91671f465cb5ce0dc7483cb330000,0xfb6e3295e465869dc78943479dff0f41dd06d234,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,5,96,2026-08-21 02:40:25Z,1,0x9f69ad8b9ac91671f465cb5ce0dc7483cb330000,"4,439.87","4,241.29",0.0000,unknown,unknown,"deployed by EOA 0xfb6e3295e465869dc78943479dff0f41dd06d234 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,241.29 pool_weth_usd=4,439.87"
25,63252,2026-06-16 17:13:12Z,LOCKSLEY,LOCKSLEY,0x5becb6b1c0a7049c4a5ba079cc9c600844acffc6,0x06c8250cecaeafc06662463ac110df8a6c9e7bd4,,42000000,135,212,2026-06-28 09:06:35Z,0,,,,72.9917,unknown,indexed only,"direct deployment by EOA 0x06c8250cecaeafc06662463ac110df8a6c9e7bd4 (first-mint tx has to=null); no factory, no infra-linked deployer","no priceable venue | blockscout: holders=135 no price, no aggregator listing"
26,63294,2026-06-16 17:23:17Z,MERRYMEN,Merry Men,0xb9b562c397f9b1acff58c6681675f78fc22092da,0xc5c6a8cfcc121c541956a3cd01c3d97058d59e01,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,101,5346,2026-08-27 21:02:14Z,1,,,,0.0000,unknown,indexed only,"deployed by EOA 0xc5c6a8cfcc121c541956a3cd01c3d97058d59e01 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=101 no price, no aggregator listing"
27,63942,2026-06-16 19:40:11Z,ROBINHOODIES,ROBINHOODIES,0x1bca872a7c00e74f6ac9a1a74ba82b7d71360000,0x31f77f253f6b4fd7dc1d32671e327274bd52c429,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,2,74,2026-08-21 02:41:15Z,1,0x1bca872a7c00e74f6ac9a1a74ba82b7d71360000,"4,387.92","4,142.61",0.0000,unknown,unknown,"deployed by EOA 0x31f77f253f6b4fd7dc1d32671e327274bd52c429 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,142.61 pool_weth_usd=4,387.92"
28,63957,2026-06-16 19:42:15Z,ROBINHOODIES,ROBINHOODIES,0x8fde2c15d44eb7cc1a889bc74633e226f91d3295,0x31f77f253f6b4fd7dc1d32671e327274bd52c429,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,290,5427,2026-07-09 22:02:59Z,0,,,,0.0000,unknown,listed,"deployed by EOA 0x31f77f253f6b4fd7dc1d32671e327274bd52c429 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue | blockscout: holders=346 mcap_usd=9960.72 price_usd=0.00001101 vol24h=579.43 coingecko_listed=yes
29,64611,2026-06-16 21:59:03Z,RHPEPE,Robinhood Pepe,0xd478e00fec96b0e15d6e984385cea43b4da09d20,0x800488e663330314437dfc60ae286e5a6e1e376a,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,203,10255,2026-08-30 04:14:36Z,1,,,,0.0000,unknown,indexed only,"deployed by EOA 0x800488e663330314437dfc60ae286e5a6e1e376a through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=204 no price, no aggregator listing"
30,64960,2026-06-16 23:20:33Z,MEOWOOD,MEOWOOD,0x3018e275da8d1acd16e7b803e74fca9c251fd60f,0x723d99f97c082b960a265892ec73768d2ac207a7,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,19,327,2026-07-08 04:20:04Z,0,,,,0.0000,unknown,unknown,"deployed by EOA 0x723d99f97c082b960a265892ec73768d2ac207a7 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue
31,65117,2026-06-16 23:58:57Z,GME,GameStop,0x7e86381a763f0ecca2bdf27c54eac403ddd48123,0x3267ce4b60bb04f2343975bb64a02036b61339cb,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,113,607,2026-06-30 02:59:30Z,0,,,,3.5821,unknown,listed,"deployed by EOA 0x3267ce4b60bb04f2343975bb64a02036b61339cb through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue | blockscout: holders=2573 mcap_usd=0 price_usd=0.00010826 vol24h=6403.85 coingecko_listed=yes
32,65183,2026-06-17 00:10:39Z,GME,GameStop,0x0a1016818d5f1c1c0ece2e6c54bdbc00731053fc,0x17cfabb2387b8bf278949a002b63934ea6f91abc,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,21,741,2026-08-16 09:37:28Z,1,,,,0.0000,unknown,unknown,"deployed by EOA 0x17cfabb2387b8bf278949a002b63934ea6f91abc through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue
33,65321,2026-06-17 00:33:11Z,RKT,Roaring Kitty,0x2d07db58fae9b53c795f667b4579508cbe0a3fcc,0xef2c1c05097e71a7947080193d98a08077a1bcfa,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,361,5399,2026-07-09 08:12:58Z,0,,,,0.1345,unknown,indexed only,"deployed by EOA 0xef2c1c05097e71a7947080193d98a08077a1bcfa through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)","no priceable venue | blockscout: holders=462 no price, no aggregator listing"
34,65437,2026-06-17 01:16:33Z,rbETH,Robinhood Bridged ETH,0x9c497572f6ab96cb6859ecdb0fbad87f852c8f35,0x263371bf95a2ca5c249221b3c14d98ab3d3b4c22,0x9c497572f6ab96cb6859ecdb0fbad87f852c8f35,0,1,1,2026-06-17 01:16:33Z,0,,,,0.0000,unknown,unknown,"direct deployment by EOA 0x263371bf95a2ca5c249221b3c14d98ab3d3b4c22 (first-mint tx has to=self); no factory, no infra-linked deployer",no priceable venue
35,65947,2026-06-17 03:49:58Z,ARROW,Arrow Swap,0xb2b9fb0dd5fefad4c5f77f2351d78907967354c9,0x1f7ac61e56bdd8b32b63bda7fe09e36ceade5056,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,9,313,2026-08-17 03:14:20Z,1,,,,0.0000,unknown,unknown,"deployed by EOA 0x1f7ac61e56bdd8b32b63bda7fe09e36ceade5056 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue
36,67044,2026-06-17 07:25:37Z,FETH,Faster eth,0x003df9b036ca1bb69a11eeafa9a53ff5f0d5e7dd,0xed3d636113cf515130453f2771d1476af8d4d679,0xd9ec2db5f3d1b236843925949fe5bd8a3836fccb,1000000000,9,232,2026-08-16 15:04:23Z,1,,,,0.0000,unknown,unknown,"deployed by EOA 0xed3d636113cf515130453f2771d1476af8d4d679 through public NOXA Fun launchpad (0xd9ec..., owner 0x7e035fb0... who deployed the 'Testing NOXA Fun ;)' token)",no priceable venue
